text,topic
From: fombaron@ufrima.imag.fr (FOMBARON marc) Subject: 3d-Studio V2.01 : Any differences with previous version Keywords: 3d studio 2.01 Nntp-Posting-Host: boole-imag Organization: University of Grenoble (France) Lines: 9  Are there significant differences between V2.01 and V2.00 ? Thank you for helping  Marc. --        _/_/  _/_/   e-mail : Marc.Fombaron@ufrima.imag.fr      _/ _/_/ _/     _/  _/  _/  _/     _/    _/_/_/   _/_/_/_/   _/  _/_/_/_/  Marc Fombaron.    _/      _/  _/     _/  _/      _/ _/     _/  _/  _/     _/  Grenoble.,comp.graphics
"From: coburnn@spot.Colorado.EDU (Nicholas S. Coburn) Subject: Re: Shipping a bike Nntp-Posting-Host: spot.colorado.edu Organization: University of Colorado, Boulder Lines: 31  In article <1qkhrm$7go@agate.berkeley.edu> manish@uclink.berkeley.edu (Manish Vij) writes: > >Can someone recommend how to ship a motorcycle from San Francisco >to Seattle?  And how much might it cost? > >I remember a thread on shipping.  If someone saved the instructions >on bike prep, please post 'em again, or email. > >Thanks, > >Manish  Step 1) Join the AMA (American Motorcycling Association).  Call 1-800-AMA-JOIN.  Step 2) After you become a member, they will ship your bike, UNCRATED to  just about anywhere across the fruited plain for a few hundred bucks.  I have used this service and have been continually pleased.  They usually only take a few days for the whole thing, and you do not have to prepare the bike in any way (other than draining the gas).  Not to mention that it is about 25% of the normal shipping costs (by the time you crate a bike and ship it with another company, you can pay around $1000)   ________________________________________________________________________ Nick Coburn                     DoD#6425                      AMA#679817                   '88CBR1000              '89CBR600                        coburnn@spot.colorado.edu ________________________________________________________________________",rec.motorcycles
"From: schmidt@PrakInf.TH-Ilmenau.DE (Schmidt) Subject: Re: POV file constructor for Unix/X11 Nntp-Posting-Host: merkur.prakinf.tu-ilmenau.de Reply-To: schmidt@PrakInf.TH-Ilmenau.DE (Schmidt) Organization: Technische Hochschule Ilmenau Lines: 17  In article <1r7hl1$csc@st-james.comp.vuw.ac.nz>, Craig.Humphrey@comp.vuw.ac.nz (chumphre) writes: |>  |> Hi, I'm just getting into PoVRay and I was wondering if there is a graphic |> package that outputs .POV files.  Any help would be appreciated. |> Thanks. |>   A very good modeling package I found is `irit' (look for irit.tar.Z). However there is no converter from it's format to POV format. I postet  a request for such a converter in this group but got no response, so I'm considering to write such a program myself.   --  Sebastian Schmidt    TU Ilmenau Institut f. praktische Informatik",comp.graphics
"From: rainer@sun3.eeam.elin.co.at (Rainer Hochreiter) Subject: X-Terminal question Organization: ELIN Energeanwendung Ges.m.b.H Lines: 14 NNTP-Posting-Host: sun3.eeam.elin.co.at X-Newsreader: TIN [version 1.1 PL9]  A simple question to all the Xperts:  Is it possible to use several X-Terminals with only one mouse and one keyboard?  Any suggestions?  Thanks, rainer.  --  Rainer Hochreiter                | Telephone: +43 (1) 89100 / 3961 ELIN-Energieanwendung GesmbH     | Telefax  : +43 (1) 89100 / 3387 Penzingerstr. 76                 | A-1141 Wien, Austria/Europe      | E-mail   : rainer@elin.co.at",comp.windows.x
"From: gemmellj@merrimack.edu Subject: e-mail to the hill ?? Organization: Merrimack College, No. Andover, MA, USA Lines: 4  Now, that Clinton can get e-mail, i'm wondering if Congress is also going on line.. If so, does anyone have the address to reach them?? I'm also looking for Bill's e-mail address. please e-mail me, i am not a regualar reader of this newsgrouop.",talk.politics.misc
"From: rkim@mars.uucp (Richard H.S. Kim) Subject: Need sources for HV capacitors. Article-I.D.: nic.1993Apr5.213718.4721 Distribution: usa Organization: Triacus Inc. Lines: 26 Nntp-Posting-Host: mars.calstatela.edu  Recently, my video monitor went dead, no picture, some low distorted sound. I didn't hear the tell-tale cracking that indicated HV at work, nor are the filaments at the far end of the tube glowing orange, just nothing.  On examining the power board, I noticed the largest capacitor with a very bad bulge at the top.  Naturally, I want to replace it, but I can't find any sources.  The electrolytic capacitor is 330 mF at 250WV.  It has radial leads, and is roughly 1 1/2 inches long, 1 1/8"" wide.  The dimensions are important since the whole board fits in a metal cage, leaving little room.  Living in the Los Angeles area, I've been to numerous stores (Dow Radio, All Electronics, ITC Elect, Sandy's, Yale Elect) with empty hands.  Can anyone suggest sources for high-voltage capacitors?  Mail order is  fine, although I'd rather check out a store to compare the can.  I'm going to try a video electronics store, hopefully they'll have HV caps.  (By the way, the monitor is a ATARI SC1224, Goldstar circuitry, Masushita tube.  Anyone else had problems?)  Thanks in advance, Rich K.  email>  rkim@opus.calstatela.edu",sci.electronics
"From: silver@xrtll.uucp (Hi Ho Silver) Subject: Re: Who was   or   what is   MIATA, as used in the Mazda Miata? Organization: What you won't find on my desk. Lines: 20  Sayeth sjwyrick@lbl.gov (Steve Wyrick): $Anybody keeping track of how many of these there are?  So far I have $Miata, Tredia, Previa, Sentra, Maxima, Altima, Camry, and Justy, not to $mention Lexus, Acura and Infiniti!       You're apparently including names that are, or appear to be, derivatives of real words in English or some other language (e.g. Acura, Infiniti, Maxima, Altima), in which case you missed ones such as Integra, Supra, Allante', Capri and Calibra.  In Canada, add Serenia and Precidia.  If you count misspellings, add Protege and (in Canada) Vigor.  How about the forthcoming Mondeo, if it is given that name in North America?     Others might include Celica, Corolla, Paseo, and Tercel.  In Canada, add Asu""na. --  |I know that sometimes my jaw clicks when I eat.  Void where prohibited.| |Have you seen this boy?  Lust never sleeps.  I say hurl.  Honey, I'm   | |home. _________________________________________________________________| |_____/ silver@bokonon.UUCP    ...!{uunet|becker|xrtll}!bokonon!silver  |",rec.autos
"From: rjwade@rainbow.ecn.purdue.edu (Robert J. Wade) Subject: Re: Most bang for between $13,000 and $16,000 Organization: Purdue University Engineering Computer Network Distribution: na Lines: 18  In article <33759@oasys.dt.navy.mil> tobias@oasys.dt.navy.mil (Steve Tobias) writes: >In rec.autos, CPKJP@vm.cc.latech.edu (Kevin Parker) writes: >>   I'd like to get some feedback on a car with most bang for the buck in the >>$13000 to 16,000 price range. I'm looking for a car with enough civility to be >>driven every day, or even on long trips, but when I hit the gas, I want to feel >>some acceleration.  Handling is important also, as are reliability and pretty >>low maintenance costs.  A stylish appearance is nice, but I don't want a car >>that is all show and not much go.  Even though many of the imports are fast, I >>don't really want a turbo, and I never have cared for the song sung by a four >>clyinder.  I'd prefer a v6 or v8 for the engine.  If you have any suggestions, >>Kevin Parker > >     There's only one car that really fits your needs. It's spelled: > >     5.0 LITER MUSTANG   not!  sorry, he said cvility, long trips, reliability, and low maintenance cost!",rec.autos
"From: ntaib@silver.ucs.indiana.edu (Iskandar Taib) Subject: Re: Hercules Graphite? Nntp-Posting-Host: silver.ucs.indiana.edu Organization: Indiana University Lines: 20  In article <1993Apr06.185638.12139@metrics.com> tomh@metrics.com (Tom Haapanen) writes:  >Has anyone used a Hercules Graphite adapter?  It looks good on paper, and >Steve Gibson gave it a very good review in Infoworld.  I'd love to get a >real-world impression, though -- how is the speed?  Drivers?  Support?  The PC World reviewers found out that the Herc people had hard-coded Winbench text into the driver. Clever, no? In any case, the Winbench results are pretty much inflated.  When and if you get one send me mail.. I might buy that ATI GU+ off you.. 9-)    --  ------------------------------------------------------------------------------- Iskandar Taib                          | The only thing worse than Peach ala Internet: NTAIB@SILVER.UCS.INDIANA.EDU |    Frog is Frog ala Peach Bitnet:   NTAIB@IUBACS                 !",comp.os.ms-windows.misc
"From: snail@lsl.co.uk Subject: Re: Xlib for MS/WINDOWS not an XSERVER!!! Organization: Laser-Scan Ltd., Cambridge Lines: 16  In article <1993Apr7.044749.11770@topgun>, smikes@topgun (Steven Mikes) writes: > Another company, Congruent Corporation of New York City, has also ported Xlib > Xt and Motif 1.1 over to MS Windows NT, which provides full client development > for X applications in an NT environment.  Could someone please send me the postal and email address of Congruent Corporation (and any competitors they may have).  Thank you. --  snail@lsl.co.uk        ""Washing one's hands of the conflict between the powerful and the powerless  means to side with the powerful, not to be Neutral.""                                                      Quote by Freire.                                                      Poster by OXFAM.",comp.windows.x
"From: cpc4@ns1.cc.lehigh.edu (CONNIN PATRICK COLGAIN) Subject: A.L. East is best in baseball! Organization: Lehigh University Lines: 27  Is there any doubt that this is true?  After a few down years, the A.L. East is back to where it was in the early eighties.  With the emergence of the O's and the Yanks, it is far and away the best.  While the N.L. West has the best team in baseball, and the Reds aren't bad either, they have nothing else.  The Giants, Astros, and Padres all have talent, they do not have the all arounf teams that are found in the A.L. East.  And the Dodgers just plain suck.  As for the Rockies, who knows?    The A.L. East has the defending champs, and although they lost a lot to free agency, Toronto is still one of the best in baseball.  The Orioles have the preseason favorite to win the Cy Young in Mike Mussina, and you can never forget about Ripken.  The signings of Harold Baines and Harold Reynolds don't hurt to much either, although I always liked Bill Ripken.  While they let a lot go this summer (Randy Milligan, Joe Orsulak, Bill Ripken, Bob Milacki, Sam Horn, Storm Davis, and Craig Lefferts), they kept the heart of their team intact.  My predicted finish: 1. Baltimore (Could be a biased opinion) 2. NY Yankees 3. Toronto 4. Milwaukee 5. Detroit 6. Boston 7. Cleveland (Would have been higher if not for the accident)  Go O's!!!!!!!! --",rec.sport.baseball
"From: anwar+@cs.cmu.edu (Anwar Mohammed) Subject: Who should be spied on... Keywords: hypocritical pig Nntp-Posting-Host: gs135.sp.cs.cmu.edu Organization: School of Computer Science, Carnegie Mellon Lines: 62  In article <C5sDCK.38n@news.cso.uiuc.edu> eshneken@ux4.cso.uiuc.edu (Edward A Shnekendorf) writes: >anwar+@cs.cmu.edu (Anwar Mohammed) writes: > >>In article <4815@bimacs.BITNET> ehrlich@bimacs.BITNET (Gideon Ehrlich) writes: >>>The readers of this forum seemed to be more interested in the contents >>>of those files. >>>So It will be nice if Yigal will tell us: >>>1. Why do American authorities consider Yigal Arens to be dangerous? > >>ADL authorities seem to view a lot of people as dangerous, including >>the millions of Americans of Arab ancestry.  Perhaps you can answer >>the question as to why the ADL maintained files and spied on ADC members >>in California (and elsewhere??)?  Friendly rivalry perhaps? > >Come on!  Most if not all Arabs are sympathetic to the Palestinian war  >against Israel.  That is why the ADL monitors Arab organizations.  That is >the same reason the US monitored communist organizations and Soviet nationals >only a few years ago.   >  The ADC is an organization of Arab-*AMERICANS*.  Let me see...you're saying that ""most if not all"" Arab-AMERICANS should be spied on?  You're also saying that ""most if not all"" Arab-AMERICANS should be views as a national security threat to Israel (and the US,  as you gratuitously imply in your reference to the WTC bombing, in  which no Arab-AMERICANS were involved)?  By inference, can we assume  that you think that anyone of Arab lineage anywhere in the world poses  a threat to Israel and, therefore, should be spied on?  Perhaps, then, on the basis of Pollard spy case (not to mention the Rosenbergs, etc.) you think that all Jewish Americans should be spied  on by the ADC.  Oh, never mind; this whole spying case has obviously so  convoluted your sense of right or wrong in these matters that I have  no wish confuse you further.  >>Perhaps Yigal is a Greenpeace member? Or the NAACP? Or a reporter?  >>Or a member of any of the dozens of other political organizations/ethnic  >>minorities/occupations that the ADL spied on. > >All of these groups have, in the past, associated with or been a part of anti- >Israel activity or propoganda.  The ADL is simply monitoring them so that if >anything comes up, they won't be caught by surprise.  So the LA times reporter who had information about him sold to the South African government was involved in ""anti-Israel activity or propaganda""? Are we to infer that the simple act of reporting an event in a newspaper constitutes ""anti-Israel activity or propaganda""?  Or was it South Africa?  The LA  times reporter was based in South Africa, after all.   > > >>>Gideon Ehrlich >>-anwar >Ed. >   -anwar again",talk.politics.mideast
"From: hades@coos.dartmouth.edu (Brian V. Hughes) Subject: Re: Centris 650 Math CoProcessor option Reply-To: hades@Dartmouth.Edu Organization: Dartmouth College, Hanover, NH Disclaimer: Personally, I really don't care who you think I speak for. Distribution: usa Moderator: Rec.Arts.Comics.Info Lines: 40  David_Anthony_Guevara@cup.portal.com writes:  >Sorry if this is a FAQ.  I don't normally read comp.sys.mac.hardware. >I am purchasing a couple of Centris 650's.  I configured the systems >as follows:  > Eight (8) Mb RAM > Ethernet > 1 Mb VRAM > Math CoProcessor option  >My purchasing agent told me about the math coprocessor option and sent >me the Apple summary documentation to prove it.  I ordered the coprocessor >option, but I'm really not sure that we needed it.  I thought the '040 chip >had a math coprocessor built into it.  Has Apple had a math coprocessor chip >architectured to keep up with the speed of the '040 chip in the Centris 650? >I am concerned that I may have set up a hardware bottleneck.      Apple has really confused people with this whole thing. I think we'll be answering this question for about the next year or so. There is no ""option"" to get an FPU on a C650. What you have is a choice of CPUs: there is the 68LC040 that does not have an integrated FPU like the full '040 and is only present in the base 4/80 model of the C650 (AppleUSA). And there is the full '040 which you get when you order anything other than the base 4/80 configuration. Therefore, since you have ordered one of the 8MB versions with on-board Ethernet models you will not be getting the LC040. But even if you wanted to have the LC040 you wouldn't be able to order a C650 with 8MB RAM, on-board Ethernet and an LC040. It's not an ""option.""     Also, a note to people out there that have 4/80 C650s and C610s thinking that there is an optional FPU, the '040 class chip cannot recognize an external FPU, so there is no socket on the motherboard for a FPU chip and you cannot go out and purchase an FPU on a PDS card or something like that. The only way to get an FPU in these machines is to replace the LC040 with a full '040. And if you have a C610, you will not need to worry about a heat sink if you do replace the LC040 with the full '040, but if you have a 4/80 C650 you do need to have a heat sink.  -Hades",comp.sys.mac.hardware
"From: willisw@willisw.ENG.CLEMSON.edu (Bill Willis) Subject: Re: Mysterious MOSFET Organization: Engineering Services, Clemson University Lines: 23  In article <1qug3sINN90g@rave.larc.nasa.gov> kludge@grissom.larc.nasa.gov (Scott Dorsey) writes:  >I have a MOSFET pulled out of a Trygon power supply, for which I have no  >manual.  It's a Motorola part with a 1972 date code and the number  >               285-4  >which the Motorola folks assure me is a house number, which they can't >help me with.  Any suggestions from folks out there?  I can't put it on >a curve tracer to try to get an equivalent, since it's completely shot. >--scott Since your MOSFET is a 1972 vintage, it's probably not a very good one by  today's standards.  If you have an idea about its voltage and current  ratings, e.g. 60VDC @ 6A, you can probably get away with replacing it with  anything with better specs.  Early MOSFETS had a gate-source voltage rating  of approximately +/- 20 VDCmax, and they would usually turn completely ""ON""  at +10VDC.  Otherwise, MOSFETS are not really mysterious -- they're more or  less voltage controlled current sources.  If the MOSFET in your circuit is  used as an open-loop, voltage controlled current source, you may have to  experiment with various gain-altering techniques.  Bill Willis     willisw@coe-nw.clemson.edu (803) 656-5550",sci.electronics
